时间,电压(V),电流(A),D+(V),D-(V),时间文本,总功耗(W)
1900-01-01 16:25:51,8.94,1.92,0.9,3.52,16:25:51,17.1648
1900-01-01 16:25:52,8.94,1.91,0.89,3.54,16:25:52,17.0754
1900-01-01 16:25:53,8.94,1.91,0.9,3.52,16:25:53,17.0754
1900-01-01 16:25:54,8.95,1.91,0.89,3.53,16:25:54,17.094499999999996
1900-01-01 16:25:55,8.95,1.91,0.89,3.53,16:25:55,17.094499999999996
1900-01-01 16:25:56,8.94,1.91,0.88,3.52,16:25:56,17.0754
1900-01-01 16:25:57,8.94,1.91,0.89,3.52,16:25:57,17.0754
1900-01-01 16:25:58,8.94,1.91,0.88,3.52,16:25:58,17.0754
1900-01-01 16:25:59,8.94,1.92,0.89,3.52,16:25:59,17.1648
1900-01-01 16:26:00,8.94,1.91,0.89,3.53,16:26:00,17.0754
1900-01-01 16:26:01,8.93,1.92,0.89,3.53,16:26:01,17.145599999999998
1900-01-01 16:26:02,8.94,1.91,0.89,3.52,16:26:02,17.0754
1900-01-01 16:26:03,8.94,1.91,0.9,3.54,16:26:03,17.0754
1900-01-01 16:26:04,8.94,1.91,0.89,3.53,16:26:04,17.0754
1900-01-01 16:26:05,8.94,1.91,0.89,3.52,16:26:05,17.0754
1900-01-01 16:26:06,8.93,1.91,0.89,3.53,16:26:06,17.0563
1900-01-01 16:26:07,8.95,1.92,0.89,3.53,16:26:07,17.183999999999997
1900-01-01 16:26:08,8.94,1.92,0.89,3.53,16:26:08,17.1648
1900-01-01 16:26:09,8.93,1.91,0.89,3.53,16:26:09,17.0563
1900-01-01 16:26:10,8.95,1.91,0.89,3.52,16:26:10,17.094499999999996
1900-01-01 16:26:11,8.95,1.91,0.9,3.52,16:26:11,17.094499999999996
1900-01-01 16:26:12,8.94,1.91,0.89,3.54,16:26:12,17.0754
1900-01-01 16:26:13,8.94,1.91,0.89,3.52,16:26:13,17.0754
1900-01-01 16:26:14,8.94,1.92,0.89,3.54,16:26:14,17.1648
1900-01-01 16:26:15,8.94,1.92,0.89,3.52,16:26:15,17.1648
1900-01-01 16:26:16,8.93,1.91,0.89,3.53,16:26:16,17.0563
1900-01-01 16:26:17,8.94,1.91,0.89,3.53,16:26:17,17.0754
1900-01-01 16:26:18,8.94,1.91,0.89,3.53,16:26:18,17.0754
1900-01-01 16:26:19,8.94,1.91,0.89,3.53,16:26:19,17.0754
1900-01-01 16:26:20,8.94,1.91,0.89,3.53,16:26:20,17.0754
1900-01-01 16:26:21,8.93,1.92,0.9,3.54,16:26:21,17.145599999999998
1900-01-01 16:26:22,8.94,1.91,0.89,3.53,16:26:22,17.0754
1900-01-01 16:26:23,8.94,1.92,0.9,3.54,16:26:23,17.1648
1900-01-01 16:26:24,8.95,1.91,0.89,3.53,16:26:24,17.094499999999996
1900-01-01 16:26:25,8.94,1.91,0.89,3.53,16:26:25,17.0754
1900-01-01 16:26:26,8.93,1.91,0.89,3.54,16:26:26,17.0563
1900-01-01 16:26:27,8.95,1.91,0.89,3.54,16:26:27,17.094499999999996
1900-01-01 16:26:28,8.95,1.91,0.9,3.54,16:26:28,17.094499999999996
1900-01-01 16:26:29,8.94,1.91,0.89,3.52,16:26:29,17.0754
1900-01-01 16:26:30,8.94,1.92,0.88,3.52,16:26:30,17.1648
1900-01-01 16:26:31,8.94,1.91,0.89,3.52,16:26:31,17.0754
1900-01-01 16:26:32,8.94,1.91,0.89,3.53,16:26:32,17.0754
1900-01-01 16:26:33,8.94,1.91,0.89,3.53,16:26:33,17.0754
1900-01-01 16:26:34,8.94,1.92,0.9,3.54,16:26:34,17.1648
1900-01-01 16:26:35,8.93,1.91,0.89,3.53,16:26:35,17.0563
1900-01-01 16:26:36,8.94,1.91,0.89,3.53,16:26:36,17.0754
1900-01-01 16:26:37,8.94,1.91,0.88,3.52,16:26:37,17.0754
1900-01-01 16:26:38,8.95,1.91,0.89,3.54,16:26:38,17.094499999999996
1900-01-01 16:26:39,8.94,1.92,0.89,3.54,16:26:39,17.1648
1900-01-01 16:26:40,8.95,1.92,0.89,3.53,16:26:40,17.183999999999997
1900-01-01 16:26:41,8.94,1.91,0.89,3.52,16:26:41,17.0754
1900-01-01 16:26:42,8.94,1.91,0.89,3.53,16:26:42,17.0754
1900-01-01 16:26:43,8.95,1.91,0.9,3.54,16:26:43,17.094499999999996
1900-01-01 16:26:44,8.94,1.91,0.89,3.53,16:26:44,17.0754
1900-01-01 16:26:45,8.94,1.91,0.89,3.54,16:26:45,17.0754
1900-01-01 16:26:46,8.94,1.91,0.89,3.52,16:26:46,17.0754
1900-01-01 16:26:47,8.95,1.92,0.89,3.53,16:26:47,17.183999999999997
1900-01-01 16:26:48,8.94,1.92,0.9,3.54,16:26:48,17.1648
1900-01-01 16:26:49,8.93,1.91,0.88,3.52,16:26:49,17.0563
1900-01-01 16:26:50,8.95,1.92,0.89,3.53,16:26:50,17.183999999999997
1900-01-01 16:26:51,8.95,1.91,0.89,3.53,16:26:51,17.094499999999996
1900-01-01 16:26:52,8.94,1.91,0.89,3.52,16:26:52,17.0754
1900-01-01 16:26:53,8.94,1.91,0.89,3.53,16:26:53,17.0754
1900-01-01 16:26:54,8.94,1.91,0.89,3.53,16:26:54,17.0754
1900-01-01 16:26:55,8.94,1.91,0.88,3.52,16:26:55,17.0754
1900-01-01 16:26:56,8.93,1.91,0.89,3.53,16:26:56,17.0563
1900-01-01 16:26:57,8.93,1.91,0.9,3.53,16:26:57,17.0563
1900-01-01 16:26:58,8.93,1.91,0.9,3.54,16:26:58,17.0563
1900-01-01 16:26:59,8.94,1.92,0.9,3.54,16:26:59,17.1648
1900-01-01 16:27:00,8.95,1.92,0.89,3.54,16:27:00,17.183999999999997
1900-01-01 16:27:01,8.94,1.91,0.89,3.53,16:27:01,17.0754
1900-01-01 16:27:02,8.95,1.92,0.9,3.54,16:27:02,17.183999999999997
1900-01-01 16:27:03,8.95,1.91,0.89,3.53,16:27:03,17.094499999999996
1900-01-01 16:27:04,8.94,1.92,0.89,3.54,16:27:04,17.1648
1900-01-01 16:27:05,8.95,1.91,0.89,3.53,16:27:05,17.094499999999996
1900-01-01 16:27:06,8.95,1.92,0.9,3.54,16:27:06,17.183999999999997
1900-01-01 16:27:07,8.94,1.91,0.89,3.53,16:27:07,17.0754
1900-01-01 16:27:08,8.95,1.92,0.89,3.53,16:27:08,17.183999999999997
1900-01-01 16:27:09,8.95,1.91,0.89,3.52,16:27:09,17.094499999999996
1900-01-01 16:27:10,8.94,1.91,0.89,3.53,16:27:10,17.0754
1900-01-01 16:27:11,8.94,1.91,0.89,3.53,16:27:11,17.0754
1900-01-01 16:27:12,8.94,1.92,0.89,3.53,16:27:12,17.1648
1900-01-01 16:27:13,8.93,1.91,0.9,3.53,16:27:13,17.0563
1900-01-01 16:27:14,8.95,1.92,0.89,3.53,16:27:14,17.183999999999997
1900-01-01 16:27:15,8.94,1.92,0.89,3.52,16:27:15,17.1648
1900-01-01 16:27:16,8.94,1.92,0.89,3.54,16:27:16,17.1648
1900-01-01 16:27:17,8.93,1.92,0.89,3.52,16:27:17,17.145599999999998
1900-01-01 16:27:18,8.94,1.92,0.89,3.54,16:27:18,17.1648
1900-01-01 16:27:19,8.95,1.92,0.89,3.53,16:27:19,17.183999999999997
1900-01-01 16:27:20,8.94,1.92,0.9,3.53,16:27:20,17.1648
1900-01-01 16:27:21,8.94,1.91,0.89,3.53,16:27:21,17.0754
1900-01-01 16:27:22,8.95,1.91,0.89,3.53,16:27:22,17.094499999999996
1900-01-01 16:27:23,8.94,1.92,0.89,3.53,16:27:23,17.1648
1900-01-01 16:27:24,8.94,1.92,0.89,3.53,16:27:24,17.1648
1900-01-01 16:27:25,8.93,1.92,0.89,3.54,16:27:25,17.145599999999998
1900-01-01 16:27:26,8.93,1.92,0.89,3.52,16:27:26,17.145599999999998
1900-01-01 16:27:27,8.94,1.92,0.89,3.52,16:27:27,17.1648
1900-01-01 16:27:28,8.94,1.91,0.89,3.53,16:27:28,17.0754
1900-01-01 16:27:29,8.94,1.91,0.89,3.54,16:27:29,17.0754
1900-01-01 16:27:30,8.93,1.91,0.89,3.53,16:27:30,17.0563
1900-01-01 16:27:31,8.94,1.91,0.89,3.52,16:27:31,17.0754
1900-01-01 16:27:32,8.94,1.91,0.89,3.53,16:27:32,17.0754
1900-01-01 16:27:33,8.94,1.92,0.89,3.53,16:27:33,17.1648
1900-01-01 16:27:34,8.94,1.91,0.89,3.53,16:27:34,17.0754
1900-01-01 16:27:35,8.94,1.91,0.89,3.52,16:27:35,17.0754
1900-01-01 16:27:36,8.95,1.92,0.89,3.54,16:27:36,17.183999999999997
1900-01-01 16:27:37,8.93,1.91,0.89,3.53,16:27:37,17.0563
1900-01-01 16:27:38,8.94,1.92,0.9,3.54,16:27:38,17.1648
1900-01-01 16:27:39,8.94,1.91,0.89,3.53,16:27:39,17.0754
1900-01-01 16:27:40,8.94,1.91,0.89,3.53,16:27:40,17.0754
1900-01-01 16:27:41,8.93,1.91,0.89,3.53,16:27:41,17.0563
1900-01-01 16:27:42,8.95,1.92,0.9,3.53,16:27:42,17.183999999999997
1900-01-01 16:27:43,8.94,1.91,0.89,3.53,16:27:43,17.0754
1900-01-01 16:27:44,8.95,1.92,0.89,3.54,16:27:44,17.183999999999997
1900-01-01 16:27:45,8.95,1.91,0.9,3.54,16:27:45,17.094499999999996
1900-01-01 16:27:46,8.93,1.92,0.89,3.53,16:27:46,17.145599999999998
1900-01-01 16:27:47,8.94,1.92,0.89,3.53,16:27:47,17.1648
1900-01-01 16:27:48,8.95,1.92,0.89,3.53,16:27:48,17.183999999999997
1900-01-01 16:27:49,8.96,1.91,0.89,3.53,16:27:49,17.1136
1900-01-01 16:27:50,8.95,1.91,0.89,3.53,16:27:50,17.094499999999996
1900-01-01 16:27:51,8.94,1.91,0.89,3.52,16:27:51,17.0754
1900-01-01 16:27:52,8.94,1.91,0.89,3.52,16:27:52,17.0754
1900-01-01 16:27:53,8.94,1.92,0.89,3.53,16:27:53,17.1648
1900-01-01 16:27:54,8.94,1.92,0.89,3.53,16:27:54,17.1648
1900-01-01 16:27:55,8.94,1.91,0.89,3.53,16:27:55,17.0754
1900-01-01 16:27:56,8.93,1.92,0.89,3.53,16:27:56,17.145599999999998
1900-01-01 16:27:57,8.93,1.91,0.9,3.53,16:27:57,17.0563
1900-01-01 16:27:58,8.94,1.92,0.89,3.53,16:27:58,17.1648
1900-01-01 16:27:59,8.94,1.92,0.88,3.53,16:27:59,17.1648
1900-01-01 16:28:00,8.95,1.91,0.89,3.53,16:28:00,17.094499999999996
1900-01-01 16:28:01,8.94,1.92,0.89,3.53,16:28:01,17.1648
1900-01-01 16:28:02,8.95,1.91,0.89,3.53,16:28:02,17.094499999999996
1900-01-01 16:28:03,8.94,1.91,0.89,3.53,16:28:03,17.0754
1900-01-01 16:28:04,8.94,1.91,0.89,3.52,16:28:04,17.0754
1900-01-01 16:28:05,8.95,1.91,0.89,3.54,16:28:05,17.094499999999996
1900-01-01 16:28:06,8.94,1.92,0.89,3.53,16:28:06,17.1648
1900-01-01 16:28:07,8.94,1.91,0.89,3.53,16:28:07,17.0754
1900-01-01 16:28:08,8.94,1.91,0.89,3.52,16:28:08,17.0754
1900-01-01 16:28:09,8.94,1.92,0.89,3.53,16:28:09,17.1648
1900-01-01 16:28:10,8.95,1.91,0.9,3.53,16:28:10,17.094499999999996
1900-01-01 16:28:11,8.94,1.91,0.89,3.53,16:28:11,17.0754
1900-01-01 16:28:12,8.94,1.92,0.89,3.53,16:28:12,17.1648
1900-01-01 16:28:13,8.95,1.91,0.9,3.54,16:28:13,17.094499999999996
1900-01-01 16:28:14,8.93,1.92,0.89,3.53,16:28:14,17.145599999999998
1900-01-01 16:28:15,8.94,1.91,0.9,3.54,16:28:15,17.0754
1900-01-01 16:28:16,8.94,1.92,0.89,3.52,16:28:16,17.1648
1900-01-01 16:28:17,8.93,1.91,0.89,3.53,16:28:17,17.0563
1900-01-01 16:28:18,8.94,1.91,0.89,3.52,16:28:18,17.0754
1900-01-01 16:28:19,8.94,1.91,0.89,3.52,16:28:19,17.0754
1900-01-01 16:28:20,8.94,1.92,0.9,3.54,16:28:20,17.1648
1900-01-01 16:28:21,8.95,1.91,0.89,3.52,16:28:21,17.094499999999996
1900-01-01 16:28:22,8.94,1.92,0.89,3.53,16:28:22,17.1648
1900-01-01 16:28:23,8.94,1.92,0.89,3.53,16:28:23,17.1648
1900-01-01 16:28:24,8.94,1.92,0.9,3.54,16:28:24,17.1648
1900-01-01 16:28:25,8.94,1.92,0.89,3.52,16:28:25,17.1648
1900-01-01 16:28:26,8.94,1.92,0.89,3.54,16:28:26,17.1648
1900-01-01 16:28:27,8.94,1.91,0.89,3.53,16:28:27,17.0754
1900-01-01 16:28:28,8.94,1.91,0.89,3.53,16:28:28,17.0754
1900-01-01 16:28:29,8.93,1.91,0.89,3.53,16:28:29,17.0563
1900-01-01 16:28:30,8.94,1.91,0.89,3.53,16:28:30,17.0754
1900-01-01 16:28:31,8.95,1.91,0.9,3.54,16:28:31,17.094499999999996
1900-01-01 16:28:32,8.94,1.91,0.89,3.52,16:28:32,17.0754
1900-01-01 16:28:33,8.94,1.91,0.89,3.52,16:28:33,17.0754
1900-01-01 16:28:34,8.95,1.92,0.89,3.53,16:28:34,17.183999999999997
1900-01-01 16:28:35,8.95,1.92,0.9,3.53,16:28:35,17.183999999999997
1900-01-01 16:28:36,8.94,1.92,0.88,3.53,16:28:36,17.1648
1900-01-01 16:28:37,8.94,1.91,0.89,3.53,16:28:37,17.0754
